,SP1,SP2,SP3,SP4,SP5
IDN-002-L0001,0.02,0.02,0.32,0.07,0.06
IDN-002-L0002,0.02,0.02,0.32,0.08,0.06
IDN-002-L0003,0.01,0.03,0.26,0.09,0.05
IDN-002-L0004,0.01,0.02,0.25,0.11,0.04
IDN-002-L0005,0.01,0.03,0.26,0.09,0.04
IDN-002-L0006,0.02,0.02,0.33,0.09,0.07
IDN-002-L0007,0.01,0.04,0.2,0.17,0.05
IDN-002-L0008,0.01,0.03,0.19,0.16,0.07
IDN-002-L0011,0,0.03,0.19,1,1
IDN-002-L0012,0,0.05,0.19,0.16,1
IDN-002-L0013,0,0.02,0.2,0.09,0.1
IDN-002-L0014,0.01,0.02,0.28,0.1,1
IDN-002-L0015,0,0.04,0.17,0.22,0.04
IDN-002-L0016,0,0.02,0.15,0.15,0.07
IDN-002-L0017,0.01,0.03,0.24,0.25,0.04
IDN-002-L0018,0,0.04,0.24,0.25,0.05
IDN-002-L0019,0.01,0.03,0.25,0.22,0.03
IDN-002-L0020,0.01,0.05,1,0.27,0.03
IDN-002-L0021,0.01,0.12,0.33,0.35,1
IDN-002-L0022,0.01,0.05,0.28,0.21,0.05
IDN-002-L0023,0.01,0.09,0.27,0.29,0.03
IDN-002-L0024,0,0.03,0.2,0.15,0.07
IDN-002-L0025,0.01,0.02,0.21,0.09,0.05
IDN-002-L0026,0.04,0.15,0.33,0.17,0.02
IDN-002-L0027,0.01,0.1,0.24,0.27,0.05
IDN-002-L0028,0,0.07,0.15,0.23,0.07
IDN-002-L0029,0,0.05,1,0.25,0.08
IDN-002-L0030,0.01,0.06,0.2,0.28,0.04
IDN-002-L0031,0.01,1,0.18,1,0.05
IDN-002-L0032,0.02,0.21,0.25,0.17,0.03
IDN-002-L0033,0.01,0.1,0.18,0.23,0.03
IDN-002-L0034,0.04,0.24,0.34,0.17,0.02
IDN-002-L0035,0.03,0.17,0.33,0.22,0.03
IDN-002-L0036,0.02,0.17,0.25,0.3,0.05
IDN-002-L0037,0.01,0.11,0.18,1,0.05
IDN-002-L0038,0.03,0.1,0.34,0.2,0.03
IDN-002-L0039,0.04,0.11,0.32,1,0.02
IDN-002-L0040,0.03,0.15,0.36,0.19,0.03
IDN-002-L0041,0.01,0.08,0.21,0.23,0.06
IDN-002-L0042,0.01,0.12,0.17,1,0.06
IDN-002-L0043,0.03,0.16,0.32,0.21,0.04
IDN-002-L0044,0,0.07,0.19,0.23,0.06
IDN-002-L0045,0.06,0.15,0.32,1,0.02
IDN-002-L0046,0.06,0.13,0.33,1,0.02
IDN-002-L0047,0.04,0.2,1,0.17,0.02
IDN-002-L0048,0.02,1,0.28,0.18,0.03
IDN-002-L0049,0.04,0.13,0.29,0.16,0.01
IDN-002-L0050,0.02,0.11,0.3,0.23,0.03
